,Reviews,polarity_value,Sentiment
22,great experience outset poorly managed bused parking slot wait 15 minutes bus plane ready BA business class Business class Tired small generally worth ticket price Tables sit straight arm rests secure terrible screens patch class airlines apparently BA think long way,0.7003,positive
23,Boarding difficult caused vast majority passengers carrying hand luggage FAs friendly seats BA European flights extremely narrow choice breakfast surprising Champagne Castelau European flights better quality brand club intercontinental flight wrong flight pleasant unpleasant seats Waiting time Brussels luggage 20 minutes acceptable,0.8591,positive
24,Boarding started delay 20 minutes everybody members team arrive 5 en 3 minutes announced boarding time wait outside nearly 15 minutes hot Unfortunately flying Barbados London Club Class underwhelming experience BA performing great performance international flights anymore Lucky 777 new configuration welcome aboard Champagne fruit juice glasses filled level inch far cheaper brand Champagne Heidsieck Monopole ros Champagne available Wines poor French wine Cognac available anymore meal sub par steak replaced beef stew FA clear dessert cheese 4 hours flight ice available Minimal information flight deck breakfast suitable business class FA friendly Far pleasant experience despite high fares,0.9509,positive
25,Absolutely horrible customer service fly left Toronto London missed connecting flight London Mumbai book different airline pay costs cancelled return flight 3 weeks later Mumbai Toronto notifying happened find tried check day stuck Mumbai 3 small kids return flights time flying,-0.8553,negative
26,BA like onboard crew check staff lacked interest job safety point eye contact ask Security questions counters opened 7 minutes late Crew CPH wonderful announcements loud maybe grumpy Took 15 LHR self service transfer LGW breeze Crew POS sector OK aisle Seat bumped cabin crew booty continuously 9 hours fault relax fully Caribbean Crew excelled joined Carnival spirit passengers feeling onboard wonder BA management tasted food onboard Absolutely tasteless worst saved 550 choosing BA KLM reason chose KLM definitely league BA aspects need change airports,0.9705,positive
27,BA best business class sky Cabin long tooth Service extremely inattentive lackadaisical waiting hour offered dinner drinks dessert awful value money,0.1832,positive
28,worst business class experience Ground crew Singapore friendly ended switching lounges BA QF aircraft late 1 hour cabin crew business class unfriendliest crew experienced smiled welcomed board body checking flight wanted found seat sat waited offer refreshment came stewardess approached passenger sitting infront hed offer refreshment said looked eye contact looked walked straight past Observing passenger crew assist ladies struggling carry luggage overhead entire flight staff felt like hated flight want work disembarking walked past 4 crew saying goodbye thank passengers food average cocktail OK wine selection average,0.7297,positive
29,possibly worst business class flown barely rates premium economy BA shouldnt suggesting offering premium seating regional routes Europe routes BA crammed seats close experience like flying discount airline Buyer beware point upgrading business class ensuring middle seat bag board seats extremely uncomfortable cant reclined flight entertainment app discount airlines use regional flights time BA good airline maybe long haul truly awful short haul hour flight actually short haul save money book cheaper airline Staff courteous professional issue quality product price,0.5537,positive
30,flying BA flying Singapore transit Sydney Auckland destination Firstly hour delay flight Singapore fine received email advance head slightly later confirmed staff Singapore Ill fine connecting flight hour delay vs hours transit arrived Sydney flight fine BA staff decent knew close boarding time rushed checks international transit flight ushered downstairs catch shuttle bus queuing long time scanned boarding pass said taken flight notified prior find transfer desk request book connecting flight rushed quickly waste time lady Qantas rep told needed speak Menzies rep matter gave instructions find Menzies rep rushed boarding gate Asiana flight speak Menzies rep busy boarding passengers waited passengers board told head transfer desk book connecting flight disgruntled passengers arrived available flight night meant arrived 8 Sydney wait close 12 hours flight Aussie visa need booked flights granted day stay given meal voucher sent hunt good place rest sleep nap cafes restaurants rejected meal voucher way finally got food Ultimately booked flight delayed 30mins stress anxiety fatigue hassle caused BAs poor booking system Ive filed formal complaint request compensation waiting hear,-0.9413,negative
31,trip Mexico City opportunity experience BA long haul business class time extremely underwhelming boarding flight Mexico city buses inch bus filled passengers couldnt breath Club World experience personalised doesnt feel special flight crew giving welcome drinks giving free food food bank wasnt offered non alcoholic choice sitting row business class cabin rude serving attitude happened flight attendant serving ice cream mid flight way literally threw ice cream head middle seat covered sides makes flight attendants hard reach striking issue cabin state seats old style yin yang seats looked pretty old storage space functionalities working struggle entertainment screen working unstable flight attendants playing security way seats area playing safety video flight attendants demonstrate security instructions manually way crew opened screen security demonstration kept closing asked way screen open flight attendant joked saying tell pilot fly angle screen pulled stay open found attitude unacceptable screens old bad quality underwhelmed food provided board looked great menu card bad served recommend BA business class product based experience,0.9609,positive
32,upgraded check Club Europe seat 1D excellent experience BA check airport quick smooth friendly staff fast track headed Galleries lounge LHR T3 exceeded expectations food good superb view runway flight great people remarked legroom good Club Europe found fine 2 hour flight Afternoon tea delicious Cabin crew excellent airport 10 minutes landing BA superb job flight,0.9874,positive
33,bought return trip BA Webjet Australia year fly Sydney Porto middle June problem return earlier Australia requested change dates March January point BA partners changed details return flight times problem problem flexible dates refused fly buy ticket company travel Australia Later asked change return date January year turned mind negative experience BA booking future trips,-0.9022,negative
34,Poor start finish months purchasing tickets added extra bag exorbitant cost 130 transaction failed system rang BA customer services cut reply LHR manager summoned verify printed receipt payment assured problem return trip Wrong experience LIS board hour delay late discovery technical fault Old plane uncomfortable seat minimal legroom Soggy cookie small bottle water offered free Return trip uncomfortable seat worse extra recline passenger enjoyed knackered seat time BA stood longer time TAP newer planes,-0.9477,negative
35,Communication customer service non existent pay seat return flight Madrid London ticket premium economy time check able BA MAD MAD LHR Madrid issued boarding pass changed seat 5F 19F worst seat explained rudeness Madrid plane changed section Business premium send apologies answer complaints low cost airlines treat better refund seat received zero apologies,-0.9333,negative
36,supposed flight cancelled 12 hours takeoff nearly 4 months BA finally responded compensation claim confirming statutory compensation 2 months later received despite chasing According BA bank lost payment apparently problem experience great airline customer service better worst low cost carriers,-0.6369,negative
37,fear BA flight operated Finnair business class seats offer leg room BA offering service better Food BA good Excellent flight arriving ahead schedule delay disembarking available LHR pilot bridge,0.6124,positive
38,flown BA times western USA England decent service problem website impossible navigate terrible takes endless repeating circles loops lead resolutions lost suitcase spent hours arrival Lisbon trying navigate website frustrating fruitless days trip waiting clothing toiletries electronics talk real person impossible quit thinking 396 spent secure seats Economy turned extra legroom paid 400 extra BA Whoops home,-0.8225,negative
39,London Heathrow Istanbul start half term school holidays flight busy Boarding managed neatly presented pleasant gate agents went way assist elderly passenger mobility issues felt singled member BA crew insisted small bag taken checked passengers large bags stopped taking flight flight felt staff member unprofessional aisle seat spoke length couple sitting country origin invisible member cabin crew disappeared returned selection drinks snacks Business class compatriots managed spill liquid acknowledge A320 clean IFE route map follow journey clinical flight exceptionally basic received small bottle water broken digestive biscuits wifi work ridiculous skyshop accessible asked coffee cabin crew member kissed teeth low BA fallen noted tension member cabin crew 2 colleagues good Disembarkation remarkably orderly civilized captain effort engage passengers flight sensible updates,0.0772,positive
40,Jan 30th booked minute transatlantic flight Ireland attend funeral close friend nature trip bad vacation transatlantic leg flight BA airline terrible experience baby crying right good portion flight BA fault continue set stage Mid flight close bathrooms middle plane seat 16J right bathrooms started leaking sewage passenger compartment water coming soon feet imagine smell great bad trip worse got new pair boots contacted BA explained great detail happened response essentially Sorry contacted verify formal response responded offering 50 euro voucher use future BA flight little value contacted giving chance right fault screaming baby fault restrooms overflowed created disgusting mess soiled boots fault effort right inconvenience health safety issue far tell got sewage feet think completely unacceptable avoid flying BA future,-0.9654,negative
41,British Airways Gold Guest List member Lifetime privileges spite given Britsh possible trans ocean trips year fortunate able fly Class unfortunately British longer Class product sell Class prices fairness deliver consider good Business Class experience point airlines sell Business Class fact better British Class experience Qatar Emirates flown millions miles British week completed world trip Emirates Qantas A380 millions BA miles experience good experience EK Qantas long time ago food beverage service BA truly extraordinary today bit stretch ordinary sad decline Seat comfort lounges food beverage need rework Class traveler British option Sad truly sad,0.7506,positive
42,case reviewing British Airways flights actually provided booked months ago London Casablanca Madrid Madrid Casablanca leg Iberia returning Marrakech direct BA Marrakech flight cancelled rebook Royal Air Maroc BA changed London Madrid leg operated Iberia instead booking ba com 2 3 legs operated BA BA flights transfer paid seat selection London Madrid got arrange refund payment point airline offering service taking money service decide later bothered provide paid good faith giving 1 10 mark zero reflect zero service received,0.5859,positive
43,memorable day January 9th family embarked journey London Heathrow Terminal 5 destined Glasgow Little anticipate series events unfold shaping travel experience tale exceptional service unwavering dedication navigated bustling corridors airport journey encountered unexpected hurdle juncture found grappling booking complications compounded banking delays Amid quandary sought assistance British Airways personnel Terminal 5 hoping salvage travel plans Enter Mr Sathies beacon hope amidst chaos demeanour exuding empathy professionalism Mr Sathies swiftly assessed situation hand Despite setback wasted time springing action exploring avenue mitigate impact unforeseen challenges faced sequence events unfolded remarkable clarity Mr Sathies tirelessly liaised stakeholders including senior colleagues managerial counterpart Mr Gurvir Singh Dhillon collaborative efforts culminated solution exceeded expectations Mr Sathies unwavering dedication Mr Gurvir Singh Dhillons steadfast support travel arrangements salvaged incurring additional costs Despite initial uncertainty family able proceed journey embarking flight Glasgow renewed sense gratitude appreciation exceptional service rendered British Airways reflect precise sequence events transpired fateful day filled profound gratitude Mr Sathies Mr Gurvir Singh Dhillon entire British Airways team meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith British Airways paragon excellence aviation industry,0.9923,positive
44,actually fly BA cancelled flight 3 days notice refused offer acceptable alternative resulting 2 people losing holiday river cruise appears standard protocol ignored communication obligations compensation option pursue official channels,-0.4767,negative
45,possibly worse check experience took nearly 50 minutes phone calls numerous staff check redemption flight account Utterly bizarre situation procedure hitch 20 years onboard disappointed old style Club World seats meaning stepping fellow passengers use toilets earth use feel dated saving grace case fabulous cabin crew amazing fed BA direct sing praises Fingers crossed return leg,0.6815,positive
46,flew LHR ATH Club Europe BA641 Dec 31 transfer JAL flight Tokyo great expectations services enjoy board partly flight time 4 hours seat configuration Club Europe typical European Business Class middle seat Afterward board remembering took route BA 30 years ago got feel relaxed unobtrusive courteous services asked champagne refill couple times benign smile come,0.9628,positive
47,like British Airways World Traveller Plus product seats comfy food good crew flight attentive friendly especially CSM came round introduced sure comfortable bars closed half way flight Cancun uplift alcoholic drinks Cancun Juice water tea coffee available flight criticisms British Airways Premium Economy feels like actively try split families pay 100 pre book seats majority drinks served plastic glass inflight snacks available 11 hour flight upgraded version Economy airlines like Qantas Singapore Airlines Business minus worth extra,0.959,positive
48,come boarding cabin luggage taken plane asked cabin large notebook electronics changes sitting plane holding notebook packs luggage think stand stuff hands passport control line Warsaw people come plane cabin luggage,-0.0258,negative
49,Stinking nappies changed business cabin flight Miami family travelling British Airways business British Airways gold card member member British Airways Executive Club 1979 fly British Airways class business class habit fly BA trust safety regular long haul flights booked British Airways business year fly USA wife Virgin Atlantic gold cards sadly returned BA Virgin class seat product service virgin gold card department scale absolutely brilliant loved Virgin lounge Heathrow flight Miami British Airways double decker aircraft big believe contributed appalling service familiarity breeds contempt business view BA aircraft dirty buses sky food better flight distinguished smell poo journey caused mothers babies changing nappies business class cabin instead WC Try enjoying lunch glass wine air permeated smell poo babies nappies changed regularly cabin screaming helped poo Cabin crew despite asked Telephoned BA customer services ended speaking lady Manchester BA office told BA cabin crew years told changing nappies cabin allowed completely unacceptable particularly awful passengers trying enjoy meal wife flying class British Airways USA April class tickets USA booked December sent complaint BA customer relations behalf members family travelled British Airways December 19 Miami LHR disgusting smells times dreadful received response offering 300 voucher 30 000 Avios given cost business class flights Miami London British Airways value loss enjoyment travelling stinking cabin 75 passenger Given gold card holder extremely good customer clearly percent BA customers gold cardholder behave God knows behave everybody tell flying Virgin Atlantic Gold member highly positive children young fly BA class times dream changing nappy cabin cabin complained British Airways asked changing nappies class allowed dinner service ignored question numerous business class flights booked BA course 12 months class flight booked,0.2433,positive
50,Worst service Lost baggage delayed flight missed connection helping British Airways website broken let fill missing report missing file report number way contact British Airways dumbest AI chatbot,-0.9501,negative
51,BA 246 21JAN 2023 appreciate unprofessional attitude pilots Flight scheduled departure 16 20 Advised boarding time 15 20 flight passengers waiting gate board 15 20 15 40 cabin crew board 15 55 pilots board Sao Paulo Airport Duty Free branded shopping bag 16 20 flight boarding Finally pushes 17 00 40 minutes late Captain came intercom announce delay traffic crew hotel airport Sorry Captain plane saw pilot colleagues board minutes cabin crew clutching duty free pilot colleagues time stop,0.296,positive
52,great experience check online separate parts BA computer system talk LHR delightful check clerk sorted quickly manually boarded time luggage loading halted Captain spotted technical issue engineer called time sorted missed slot took hour schedule flight uneventful plane clearly seen better days legroom appalling handout small bottle water soggy cookie wish days flying BA meant special time Jet2,0.9349,positive
53,excited fly BA Id travelled long haul 25yrs Ive travelled Australia occasions Ive pretty travelled Terrible experience BA Ryanair long haul travel riding previous good reputation delayed 5hrs terminal offered glass water minute meal additional drinks offered charging points outdated 3 5 didnt work family travelling flight entertainment outdated movies available poor compared airlines food atrocious flew BA LHR HongKong return Cathay HK Australia return comparison vast offered pre meal drinks snacks drinks meal menu flights knew choices quality food vastly better Cathay luggage lost nearly hours Hong Kong arrived London bags badly damaged unusable redeeming crew return flight amazing Severine angel helped journey pleasant kids,0.7096,positive
54,want warn worst customer service experience looks like British Airways customer service phone trained help create problems solving week called British Airways reservation family time explained customer service representative wanted booking pay transfer miles American Express representative told reservation miles account asked contact American Express transfer booking conversation recorded British Airways checked immediately called AMEX 30 minutes solicited transfer 500K miles AMEX clearly stated sure transfer reversible said fine checked previously British Airways called British Airways immediately reservation Miami confirmed miles arrived account surprise told space seat Miami use miles explained situation led believe flight miles transferred miles went deaf ears called German office absolutely unhelpful called UK customer service unhelpful manager able open flight miles kept repeating possible paid flight got seats seats available gold status end British Airways took absolutely responsibility causing problem solution kept miles pay trip Miami service customers company business time wait 45 minutes answer hold 2 days waiting talking British Airways 2 hours day line 45 minutes time told lady agent hang phone long phone customers customers help,0.8375,positive
55,Paid business class travelling Cairo London Heathrow got economy seat difference economy middle seat vacant Couldnt recline entertainment 5hr flight uncomfortable seat disgusting food formal complaint 3 days ago reply BAs account X hacked Got approached scammers posting flagging BA disgusting Avoid,-0.9504,negative
56,plane extremely dirty chocolate smudged childrens seats wipe seats landed immediately realized left camera bag airplane overhead cabin let plane security reasons went British Airways team ground refused contact cabin crew threw massive fuss manager reluctantly agreed point cabin crew disembarked 3 weeks sign camera assumed stolen complained British Airways automated generic response checking Lost Property Zero customer service regular customers mitigated willing help beginning disappointed,-0.8718,negative
57,Overall journey bad end baggage arrival nearly took 1 5 hours actual flight time Baggage flights arriving delivered baggage staff airport clue information baggage flight arrived raised hands saying Poor communication customer facing skills,-0.765,negative
58,Overall satisfied Ground staff member YVR extremely helpful courteous A350 months old seats good order comfortable standards modern day class seat small washroom starting look bit shabby Cabin crew friendly professional meal service carried reasonable time flight Choice 2 options main meal legs journey 1 month apart Flight departed time unfortunately landing LHR unable deplane time staffing issue LHR fault airline given frequent updates situation flight manager flight deck,0.9296,positive
59,fly BA total shambles booked Manchester London Madrid BA leg Iberia 2nd try possible avoid BA Manchester London late ran IB flight got B gates boarding started Group 1 went board gate sounded alarm BA removed IB flight BA flight 3 hours later BA reissued ticket IB flight 3 hours wasted BA total incompetence airline total disgrace crew nice typical BA crew oh im fabulous dont need nice paying passengers club europe cramped terrible food,-0.8126,negative
60,time BA business class pleased service received waiting check bag drop security 2 minutes lounge b gates area found quiet plenty food drink offer Boarding quick cabin 1x2x1 layout 12 seats larger b c cabin 30 seats food drinks plenty good quality Service cabin crew excellent cabin manager Lauren birthday card found wife special birthday Departed early arrived JFK early thing disliked paying 117 select seats free wi fi,0.9201,positive
61,Extremely rude ground service non rev flying London connection layover Gate agent extremely rude forced check carry suitcase explanation oversized sizer fit perfectly force plane fully booked lots room overhead gate agent insistent rushed regard fact redo security order bags switching airlines needed carry non rev status flight good attendants polite helpful complains extremely unhappy gate agent service understand pleasant job frankly overjoyed work explain inconvenienced fair explanation attention,0.8197,positive
62,son flew Geneva Sunday skiing holiday Les Arc flight cancelled moments prior boarding transferred flight departing half hours later got delayed hours didnt load food plane forgot load baggage business class passengers earlier flight Problems happen complex operation totally unacceptable service receives problem offshore centres unhelpful obstructive wanting fob issues getting customer special help lines merely refer webpage cut web pages unable information updated refuse update inputs time try later access people willing help empowered help actually situation forwards way Weve sitting hotel waiting bag arrive half days unable ski entire wardrobes cases outdated luggage tracking system suitacase Geneva 2 days ago sat willing step delivered incredibly heartless incompetent company,-0.8506,negative
63,price paid bought sale decent experience club class business class seats offer legroom economy class short haul fleet 4 hour flight Fast track security honoured lounge Istanbul airport crowded open public pay usage causing long queue entry badly organised Boarding smooth cabin crew friendly service hit miss Eg people got welcome Half cabin automatically offered coffee dinner half drinks replenished generously regularly meal good choice mains menu,0.9081,positive
64,Flight left time arrived half hour earlier scheduled thanks strong tail winds flight catering loaded economy passenger Heathrow 3 half hours small bottle water small packet corn snacks available buy eat Worse low cost carrier experience sense light panels overhead seats plan broken loose hanging unfortunate passengers head flight poor maintenance cabin choose airline route future competitors offers meal service route economy cabin,-0.8591,negative
65,Poor Business class product BA close airline leaders way sell seat 777 2 4 2 layout cabin feels cramped food business class economy quality served china dish price course premier levels positive fight return cabin crew fantastic felt genuinely sorry try flog poor product fly BA business options choice,-0.2263,negative
66,review LHR SYD LHR BA015 BA016 Business class 1 2 1 configuration 777 giving space privacy easy aisle access Seat reclines comfortable flat bed Good quality pillow duvet Privacy sliding door Good storage space seat charging point Flights time delays Gluten free meals poor quality presentation Warm processed meat bland slices GF bread apparently business class breakfast sectors main course choice offered bland fish served single small tray covered foil business class Condensation formed dish reheated probably chilled offering sitting weak watery liquid crew member appeared genuinely apologetic meekly served meal BA serve GF offering economy economy plus long haul flight advice GF food dine lounge care BA 24 hours travelling companion good regular meals told choice main course flights Crew gave impression job covering basics welcoming engaging Usual hospitality industry waffle service little substance delivered,0.9747,positive
